,n,kappa,data,test,rejects,time
0,300,0.01,VonMises,N-KSD,0.01,299.7297394275665
0,300,0.6755555555555556,VonMises,N-KSD,0.04,298.5830738544464
0,300,1.3411111111111111,VonMises,N-KSD,0.10333333333333333,312.38870644569397
0,300,2.0066666666666664,VonMises,N-KSD,0.265,286.96352458000183
0,300,2.672222222222222,VonMises,N-KSD,0.39166666666666666,309.45144748687744
0,300,3.3377777777777777,VonMises,N-KSD,0.61,305.49526953697205
0,300,4.003333333333333,VonMises,N-KSD,0.7433333333333333,312.0746331214905
0,300,4.668888888888889,VonMises,N-KSD,0.8333333333333334,315.3086271286011
0,300,5.334444444444444,VonMises,N-KSD,0.8966666666666666,299.1972975730896
0,300,6.0,VonMises,N-KSD,0.9516666666666667,300.22901010513306
0,30,0.0,Uniform,N-KSD,0.02,19.02544355392456
0,50,0.0,Uniform,N-KSD,0.008333333333333333,30.308047771453857
0,100,0.0,Uniform,N-KSD,0.0033333333333333335,65.71183586120605
0,200,0.0,Uniform,N-KSD,0.01,165.0609908103943
